Time,X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0,-0.236212279243475,1.39489114703295e-06,0.236212279215171,-6.93889390390723e-12,6.93889390390723e-12,0
0.003,2.82717390635151,-8.66157016873176,-2.8271739063685,-3.06186892529842,-8.66243718937454,3.0618689252864
0.007,12.1310068610242,-34.9389940352898,-12.1310068610418,-12.3448584360142,-34.9539707376473,12.3448584360064
0.01,19.5397737874428,-55.8332611959034,-19.5397737874605,-19.7196050884113,-55.8717936851999,19.7196050883971
0.013,26.9690318470267,-76.7579916469696,-26.9690318470409,-27.0992904306683,-76.8310763005972,27.09929043066
0.017,36.8876334962548,-104.651528578338,-36.8876334962757,-36.9276636379076,-104.787746262547,36.9276636379063
0.02,44.3356448622326,-125.565319079181,-44.3356448622455,-44.2899084647994,-125.761681778719,44.2899084647969
0.023,51.7913995596239,-146.473592963527,-51.7913995596407,-51.6443866233132,-146.741067904375,51.6443866233088
0.027,61.7444467472875,-174.34269812823,-61.7444467472965,-61.4382718150883,-174.722049480887,61.4382718150862
0.03,69.2182601579327,-195.238074504361,-69.2182601579362,-68.7746188132443,-195.714128203378,68.7746188132459
0.033,76.6998095941759,-216.127913800629,-76.6998095941969,-76.1031919506647,-216.711636991822,76.1031919506585
0.037,86.6872391145357,-243.972409727108,-86.6872391145591,-85.8625266554197,-244.716752194347,85.8625266554136
0.04,94.1868312966249,-264.849306897776,-94.1868312966464,-93.172952973522,-265.726908744122,93.1729529735107
0.043,101.694152658718,-285.720647901513,-101.694152658741,-100.475598740955,-286.742476162685,100.475598740943
0.047,111.715934085925,-313.540449755692,-111.715934085939,-110.200353224829,-314.771639667887,110.200353224831
0.05,119.241282193289,-334.398804117099,-119.241282193299,-117.484836590818,-335.799810035169,117.484836590814
0.054,129.287091796403,-362.201269686321,-129.287091796431,-127.185367285419,-363.845756547208,127.185367285411
0.057,136.830455415973,-383.046606267208,-136.830455415993,-134.451677375386,-384.886498471536,134.451677375378
0.06,144.381536523984,-403.886354272014,-144.381536524004,-141.710195596258,-405.932618591669,141.710195596245
0.064,154.461646071462,-431.663981728461,-154.461646071483,-151.376095765862,-434.002468193244,151.376095765852
0.067,162.030726597789,-452.490667503379,-162.030726597816,-158.616425222677,-455.06111499264,158.616425222662
